Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.5910586944596818,0.02078444518940664,0.5040650406504065,0.03992273019961365,0.5483081515150484
Decision Tree,0.9554306088864509,0.17419354838709677,0.43902439024390244,0.24942263279445728,0.7016575431481752
Random Forest,0.9600932528798684,0.17692307692307693,0.37398373983739835,0.2402088772845953,0.6720664967843708
XGBoost,0.9347229840921558,0.12366737739872068,0.4715447154471545,0.19594594594594594,0.7071072719375542
